0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
29.68,0.02,0.02,29.46,0.02,0.02
48.74,0.01,0.01,45.08,0.01,0.01
29.51,0.02,0.02,29.78,0.02,0.02
64.65,0.01,0.01,58.37,0.01,0.01
29.54,0.02,0.02,29.54,0.02,0.02
29.49,0.02,0.02,29.36,0.02,0.02
29.49,0.02,0.02,35.05,0.01,0.01
29.56,0.02,0.02,29.35,0.02,0.02
29.51,0.02,0.02,29.39,0.02,0.02
29.58,0.02,0.02,29.31,0.02,0.02
29.61,0.02,0.02,29.82,0.02,0.02
35.07,0.01,0.01,28.95,0.02,0.02
29.45,0.02,0.02,29.25,0.02,0.02
29.43,0.02,0.02,32.94,0.02,0.01
29.34,0.02,0.02,29.28,0.02,0.02
29.67,0.02,0.02,29.08,0.02,0.02
