0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
4.9466e-05,4.4511e-05,5.3501e-05,4.9481e-05,5.3501e-05
4.8929e-05,4.2911e-05,5.3281e-05,4.9006e-05,4.5061e-05
4.7513e-05,4.2471e-05,5.2241e-05,4.8721e-05,4.922e-05
4.8656e-05,4.386e-05,5.4171e-05,4.8881e-05,4.78e-05
4.9333e-05,4.396e-05,5.6221e-05,4.946e-05,5.1241e-05
4.7551e-05,4.2771e-05,5.129e-05,4.7981e-05,4.6401e-05
4.7308e-05,4.1791e-05,5.1421e-05,4.7531e-05,5.086e-05
5.5273e-05,4.7801e-05,6.5471e-05,5.6721e-05,4.805e-05
4.9097e-05,4.435e-05,5.5731e-05,4.9961e-05,5.1361e-05
4.7906e-05,4.21e-05,5.2021e-05,4.945e-05,5.1021e-05
5.4402e-05,4.7381e-05,6.3761e-05,5.2916e-05,5.7331e-05
5.0651e-05,4.219e-05,6.1342e-05,5.0631e-05,5.049e-05
5.4583e-05,4.8141e-05,6.4001e-05,5.3301e-05,5.682e-05
5.1441e-05,4.627e-05,5.7831e-05,5.0681e-05,5.0281e-05
5.0066e-05,4.622e-05,5.2831e-05,5.1205e-05,5.2781e-05
4.824e-05,4.181e-05,5.2231e-05,4.8821e-05,4.7491e-05
4.7782e-05,4.4151e-05,5.094e-05,4.8141e-05,5.062e-05
4.8122e-05,4.125e-05,5.2101e-05,4.9786e-05,4.8851e-05
4.662e-05,4.038e-05,5.1231e-05,4.7101e-05,5.0441e-05
4.6893e-05,4.071e-05,5.0611e-05,4.799e-05,4.7961e-05
4.7657e-05,4.2111e-05,5.11e-05,4.8206e-05,5.11e-05
4.7372e-05,4.122e-05,5.1451e-05,4.8251e-05,4.8671e-05
4.6516e-05,4.1461e-05,4.9891e-05,4.7576e-05,4.9091e-05
4.6977e-05,4.163e-05,5.3071e-05,4.7721e-05,4.673e-05
4.8673e-05,4.1611e-05,5.5881e-05,4.8626e-05,4.9311e-05
4.8703e-05,4.4911e-05,5.22e-05,4.9506e-05,5.0111e-05
5.4556e-05,4.228e-05,7.0101e-05,5.2541e-05,5.2191e-05
4.9067e-05,4.3161e-05,5.7251e-05,4.724e-05,4.3161e-05
4.7066e-05,4.0971e-05,5.2181e-05,4.7611e-05,5.08e-05
4.7704e-05,4.332e-05,5.187e-05,4.8601e-05,4.9741e-05
4.7436e-05,4.2601e-05,5.0651e-05,4.764e-05,5.0651e-05
4.8486e-05,4.216e-05,5.2741e-05,4.9591e-05,4.9981e-05
4.915e-05,4.4421e-05,5.4241e-05,4.9191e-05,5.033e-05
4.7988e-05,4.257e-05,5.345e-05,4.8791e-05,4.7721e-05
5.5453e-05,3.9691e-05,0.000120971,4.8126e-05,4.9611e-05
4.8913e-05,4.058e-05,5.3981e-05,4.936e-05,4.925e-05
4.7075e-05,4.2591e-05,5.1531e-05,4.7271e-05,4.965e-05
4.6462e-05,4.0471e-05,5.1491e-05,4.846e-05,4.8291e-05
4.7161e-05,4.191e-05,5.1281e-05,4.7605e-05,4.9471e-05
4.7827e-05,4.316e-05,5.3601e-05,4.6771e-05,4.375e-05
4.6795e-05,4.0221e-05,5.3331e-05,4.8291e-05,4.8581e-05
4.6878e-05,4.3191e-05,5.0721e-05,4.687e-05,4.3191e-05
4.7507e-05,4.1531e-05,5.3261e-05,4.9191e-05,5.0691e-05
4.8481e-05,4.241e-05,5.6501e-05,4.8455e-05,4.834e-05
4.8105e-05,4.1591e-05,5.1781e-05,4.8951e-05,4.8891e-05
5.0158e-05,4.7531e-05,5.235e-05,5.1041e-05,4.8211e-05
4.7769e-05,4.35e-05,5.057e-05,4.8851e-05,5.057e-05
4.7014e-05,4.221e-05,5.2911e-05,4.7081e-05,4.652e-05
4.6823e-05,4.2071e-05,5.0751e-05,4.838e-05,5.0751e-05
4.8735e-05,4.113e-05,5.4891e-05,4.9911e-05,4.9851e-05
4.7822e-05,4.3911e-05,5.3951e-05,4.7166e-05,4.964e-05
4.8367e-05,4.134e-05,5.72e-05,4.8696e-05,4.573e-05
4.71e-05,4.1501e-05,5.0111e-05,4.8491e-05,5.0111e-05
5.6196e-05,4.8731e-05,7.1321e-05,5.6961e-05,4.8781e-05
4.7166e-05,4.0721e-05,5.2201e-05,4.8736e-05,5.0131e-05
4.756e-05,4.3051e-05,5.201e-05,4.7745e-05,4.444e-05
4.7195e-05,4.0681e-05,5.2441e-05,4.815e-05,5.0491e-05
4.7415e-05,4.293e-05,5.1801e-05,4.7346e-05,4.3671e-05
4.8281e-05,4.2191e-05,5.2091e-05,5.0391e-05,5.1731e-05
4.9509e-05,4.2231e-05,5.9351e-05,4.97e-05,4.844e-05
4.7328e-05,4.4021e-05,5.0381e-05,4.7176e-05,4.8691e-05
4.8198e-05,4.2511e-05,5.3561e-05,5.0106e-05,5.0271e-05
4.787e-05,4.3211e-05,5.078e-05,4.8466e-05,5.0041e-05
4.7224e-05,4.0711e-05,5.2451e-05,4.7531e-05,4.663e-05
4.7228e-05,4.297e-05,5.1421e-05,4.744e-05,5.0111e-05
4.8806e-05,4.0821e-05,5.7401e-05,4.8826e-05,4.8851e-05
4.7868e-05,4.16e-05,5.1371e-05,4.9976e-05,5.046e-05
4.6843e-05,4.0161e-05,5.3041e-05,4.774e-05,4.667e-05
4.82e-05,4.4741e-05,5.419e-05,4.8271e-05,4.9381e-05
4.7091e-05,4.152e-05,5.2081e-05,4.6996e-05,4.5291e-05
4.6641e-05,4.2521e-05,4.913e-05,4.819e-05,4.864e-05
4.7315e-05,4.2581e-05,5.1681e-05,4.787e-05,4.733e-05
4.7359e-05,4.2591e-05,5.1271e-05,4.93e-05,4.8861e-05
4.6115e-05,4.1271e-05,5.1531e-05,4.5191e-05,4.233e-05
4.8267e-05,4.1651e-05,5.357e-05,4.8275e-05,5.357e-05
4.6956e-05,4.098e-05,5.4961e-05,4.6406e-05,4.5951e-05
4.5874e-05,4.0731e-05,4.9871e-05,4.6875e-05,4.9871e-05
4.7232e-05,4.2461e-05,5.2481e-05,4.6781e-05,4.363e-05
4.6657e-05,4.0371e-05,5.19e-05,4.7156e-05,5.19e-05
4.8803e-05,4.1961e-05,5.9261e-05,4.8465e-05,4.4071e-05
4.8141e-05,4.0531e-05,5.3851e-05,4.9446e-05,5.3851e-05
4.6378e-05,4.125e-05,5.162e-05,4.6596e-05,4.405e-05
4.5178e-05,3.8991e-05,4.9381e-05,4.6086e-05,4.812e-05
4.7661e-05,4.146e-05,5.1761e-05,4.8231e-05,4.8521e-05
