0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
3062.5,43.83,76.7,3376.9,39.75,69.55
3654.3,36.73,64.27,3068.9,43.74,76.54
3113.7,43.11,75.43,3628.2,36.99,64.74
3269.5,41.05,71.84,3137.0,42.79,74.87
3125.1,42.95,75.16,3846.6,34.89,61.06
3140.7,42.73,74.79,3134.1,42.82,74.94
3296.9,40.71,71.24,4189.4,32.04,56.07
3103.7,43.24,75.68,3003.5,44.69,78.2
3204.2,41.89,73.3,3828.1,35.06,61.36
3210.0,41.81,73.17,4313.9,31.11,54.45
3258.6,41.19,72.08,3041.6,44.13,77.22
3150.2,42.61,74.56,3008.1,44.62,78.08
3621.2,37.06,64.86,4076.3,32.93,57.62
3073.9,43.66,76.41,3028.9,44.31,77.55
3091.5,43.42,75.98,3198.3,41.97,73.44
3610.6,37.17,65.05,3299.2,40.68,71.19
