0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
56.63,0.07,0.06,65.5,0.06,0.05
56.75,0.07,0.06,50.24,0.08,0.07
56.97,0.07,0.06,29.46,0.14,0.12
29.92,0.14,0.12,36.48,0.11,0.1
31.95,0.13,0.11,44.15,0.09,0.08
33.97,0.12,0.11,29.59,0.14,0.12
35.33,0.12,0.1,32.44,0.13,0.11
29.82,0.14,0.12,29.74,0.14,0.12
63.15,0.06,0.06,28.91,0.14,0.12
29.94,0.14,0.12,32.19,0.13,0.11
30.0,0.14,0.12,36.57,0.11,0.1
29.93,0.14,0.12,29.45,0.14,0.12
32.71,0.13,0.11,32.67,0.13,0.11
30.87,0.13,0.12,30.7,0.13,0.12
29.82,0.14,0.12,29.63,0.14,0.12
34.5,0.12,0.1,32.84,0.12,0.11
