0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
69.26,30.28,30.28,73.38,28.58,28.58
68.36,30.68,30.68,61.52,34.09,34.09
75.15,27.91,27.91,73.67,28.47,28.47
73.6,28.49,28.49,62.39,33.61,33.61
75.47,27.79,27.79,74.02,28.33,28.33
71.9,29.17,29.17,74.17,28.27,28.27
75.52,27.77,27.77,74.57,28.12,28.12
76.39,27.45,27.45,73.04,28.71,28.71
76.13,27.55,27.55,73.27,28.62,28.62
75.82,27.66,27.66,73.29,28.61,28.61
75.73,27.69,27.69,74.64,28.1,28.1
75.62,27.73,27.73,73.63,28.48,28.48
74.36,28.2,28.2,70.84,29.6,29.6
75.18,27.89,27.89,67.33,31.15,31.15
75.75,27.69,27.69,74.06,28.32,28.32
76.19,27.52,27.52,68.52,30.61,30.61
75.92,27.62,27.62,68.44,30.64,30.64
76.2,27.52,27.52,73.38,28.58,28.58
76.63,27.37,27.37,69.28,30.27,30.27
74.96,27.98,27.98,68.9,30.44,30.44
76.32,27.48,27.48,74.24,28.25,28.25
