0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
56.44,4.64,8.13,55.42,4.73,8.28
55.83,4.7,8.22,56.08,4.67,8.18
56.29,4.66,8.15,58.16,4.51,7.89
56.2,4.66,8.16,72.62,3.61,6.32
56.06,4.68,8.18,55.45,4.73,8.27
57.43,4.56,7.99,59.46,4.41,7.72
56.38,4.65,8.14,55.15,4.75,8.32
55.83,4.7,8.22,56.46,4.64,8.12
56.11,4.67,8.18,57.6,4.55,7.96
56.6,4.63,8.11,73.96,3.54,6.2
56.22,4.66,8.16,55.77,4.7,8.23
60.2,4.35,7.62,57.54,4.56,7.97
63.55,4.12,7.22,57.45,4.56,7.99
56.0,4.68,8.19,56.41,4.65,8.13
57.43,4.56,7.99,62.24,4.21,7.37
55.89,4.69,8.21,54.68,4.79,8.39
57.67,4.55,7.96,57.45,4.56,7.98
56.52,4.64,8.12,55.37,4.73,8.29
56.8,4.62,8.08,56.2,4.66,8.16
56.77,4.62,8.08,58.1,4.51,7.9
56.3,4.66,8.15,56.79,4.62,8.08
