0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
59.69,4.39,7.69,57.26,4.58,8.01
56.36,4.65,8.14,57.65,4.55,7.96
69.8,3.76,6.57,57.08,4.59,8.04
55.93,4.69,8.2,58.29,4.5,7.87
56.9,4.61,8.06,58.29,4.5,7.87
56.0,4.68,8.19,55.1,4.76,8.33
56.55,4.64,8.11,55.77,4.7,8.23
57.93,4.52,7.92,57.34,4.57,8.0
57.0,4.6,8.05,56.95,4.6,8.06
56.01,4.68,8.19,55.26,4.74,8.3
55.9,4.69,8.21,57.46,4.56,7.98
55.75,4.7,8.23,54.84,4.78,8.37
55.77,4.7,8.23,56.93,4.6,8.06
74.21,3.53,6.18,56.0,4.68,8.19
56.53,4.64,8.12,55.94,4.69,8.2
56.41,4.65,8.13,56.59,4.63,8.11
55.89,4.69,8.21,55.57,4.72,8.26
55.96,4.68,8.2,56.82,4.61,8.07
56.36,4.65,8.14,58.09,4.51,7.9
55.37,4.73,8.29,56.45,4.64,8.13
56.29,4.66,8.15,55.82,4.7,8.22
