0_Transfer Time_s,0_Bandwidth_GB/s
6.6078e-05,0.021648831
6.8638e-05,0.020841392
6.771e-05,0.021127034
6.7261e-05,0.021268067
6.5726e-05,0.021764773
6.9309e-05,0.020639621
6.6942e-05,0.021369416
6.3549e-05,0.02251037
6.8574e-05,0.020860843
6.7901e-05,0.021067605
6.7614e-05,0.021157031
7.0237e-05,0.020366922
6.8766e-05,0.020802598
6.9022e-05,0.020725442
6.6045e-05,0.021659648
6.8062e-05,0.02101777
6.8381e-05,0.020919721
6.7326e-05,0.021247534
6.9437e-05,0.020601574
7.1582e-05,0.019984234
6.6238e-05,0.021596538
6.5917e-05,0.021701708
6.851e-05,0.020880331
6.8541e-05,0.020870887
6.7614e-05,0.021157031
7.0237e-05,0.020366922
6.8318e-05,0.020939013
6.7037e-05,0.021339133
6.4446e-05,0.022197056
6.9117e-05,0.020696956
6.8286e-05,0.020948825
6.6014e-05,0.02166982
6.7486e-05,0.021197159
7.1038e-05,0.020137271
6.7294e-05,0.021257638
6.691e-05,0.021379636
6.7837e-05,0.021087481
6.8446e-05,0.020899855
6.8349e-05,0.020929516
6.8062e-05,0.02101777
6.9085e-05,0.020706542
6.675e-05,0.021430883
6.7294e-05,0.021257638
6.7966e-05,0.021047457
6.6718e-05,0.021441162
6.5502e-05,0.021839203
6.6494e-05,0.021513392
6.803e-05,0.021027657
6.6365e-05,0.021555209
6.5214e-05,0.02193565
6.9566e-05,0.020563371
6.851e-05,0.020880331
6.7934e-05,0.021057372
7.0109e-05,0.020404106
6.819e-05,0.020978318
6.6077e-05,0.021649159
6.7454e-05,0.021207215
6.9053e-05,0.020716138
6.8478e-05,0.020890088
6.7165e-05,0.021298466
6.835e-05,0.02092921
6.9533e-05,0.02057313
6.9214e-05,0.02066795
6.547e-05,0.021849877
6.8573e-05,0.020861148
7.0238e-05,0.020366632
6.7133e-05,0.021308618
6.7006e-05,0.021349006
6.8925e-05,0.02075461
6.6014e-05,0.02166982
6.5566e-05,0.021817885
6.8766e-05,0.020802598
6.8445e-05,0.02090016
6.9662e-05,0.020535033
7.059e-05,0.020265073
6.9373e-05,0.02062058
6.7454e-05,0.021207215
6.5406e-05,0.021871258
7.0942e-05,0.020164521
6.8765e-05,0.020802901
6.7806e-05,0.021097122
6.9342e-05,0.020629798
6.8606e-05,0.020851113
6.7454e-05,0.021207215
6.5533e-05,0.021828872
6.9502e-05,0.020582307
6.8189e-05,0.020978625
6.7998e-05,0.021037552
7.0141e-05,0.020394797
6.995e-05,0.020450486
6.8317e-05,0.020939319
6.515e-05,0.021957198
6.819e-05,0.020978318
6.8638e-05,0.020841392
6.787e-05,0.021077228
6.8637e-05,0.020841696
6.835e-05,0.02092921
6.9053e-05,0.020716138
6.4126e-05,0.022307823
6.9597e-05,0.020554212
