0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
21.42,0.0,0.0,21.8,0.0,0.0
21.33,0.0,0.0,21.29,0.0,0.0
34.31,0.0,0.0,21.42,0.0,0.0
24.08,0.0,0.0,23.96,0.0,0.0
21.38,0.0,0.0,21.39,0.0,0.0
21.28,0.0,0.0,21.2,0.0,0.0
21.25,0.0,0.0,21.17,0.0,0.0
21.44,0.0,0.0,21.52,0.0,0.0
25.13,0.0,0.0,24.6,0.0,0.0
21.42,0.0,0.0,21.18,0.0,0.0
24.3,0.0,0.0,21.31,0.0,0.0
21.27,0.0,0.0,21.3,0.0,0.0
21.32,0.0,0.0,21.32,0.0,0.0
21.31,0.0,0.0,21.22,0.0,0.0
21.28,0.0,0.0,21.27,0.0,0.0
21.54,0.0,0.0,21.3,0.0,0.0
