0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
54.24,4.83,4.83,53.24,4.92,4.92
54.54,4.81,4.81,53.53,4.9,4.9
99.25,2.64,2.64,153.3,1.71,1.71
60.24,4.35,4.35,54.09,4.85,4.85
139.4,1.88,1.88,54.22,4.83,4.83
54.78,4.79,4.79,55.34,4.74,4.74
54.87,4.78,4.78,54.11,4.84,4.84
54.04,4.85,4.85,53.39,4.91,4.91
73.55,3.56,3.56,149.3,1.76,1.76
54.38,4.82,4.82,65.69,3.99,3.99
54.93,4.77,4.77,55.05,4.76,4.76
141.5,1.85,1.85,98.05,2.67,2.67
282.8,0.93,0.93,234.0,1.12,1.12
57.85,4.53,4.53,54.3,4.83,4.83
72.55,3.61,3.61,53.51,4.9,4.9
66.64,3.93,3.93,110.2,2.38,2.38
92.29,2.84,2.84,54.7,4.79,4.79
54.01,4.85,4.85,54.44,4.81,4.81
55.0,4.77,4.77,53.92,4.86,4.86
55.27,4.74,4.74,53.81,4.87,4.87
56.4,4.65,4.65,152.8,1.72,1.72
155.4,1.69,1.69,86.46,3.03,3.03
72.77,3.6,3.6,53.65,4.89,4.89
54.53,4.81,4.81,53.8,4.87,4.87
105.0,2.5,2.5,198.3,1.32,1.32
58.66,4.47,4.47,53.67,4.88,4.88
62.15,4.22,4.22,99.12,2.64,2.64
58.42,4.49,4.49,53.59,4.89,4.89
