0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
2.331e-06,5.53e-07,4.419e-06,2.102e-06
2.056e-06,1.687e-06,2.549e-06,2.073e-06
2.032e-06,1.599e-06,2.754e-06,1.985e-06
2.076e-06,1.498e-06,2.897e-06,2.031e-06
2.124e-06,1.645e-06,2.723e-06,2.122e-06
2.01e-06,1.348e-06,2.525e-06,2.007e-06
2.001e-06,1.511e-06,3.029e-06,1.918e-06
2.014e-06,1.49e-06,3.031e-06,1.981e-06
1.972e-06,1.535e-06,2.456e-06,1.925e-06
2.046e-06,1.583e-06,2.565e-06,2.091e-06
2.139e-06,1.494e-06,4.312e-06,1.945e-06
2.039e-06,1.466e-06,3.484e-06,1.962e-06
2.098e-06,1.212e-06,3.087e-06,2.04e-06
1.94e-06,1.693e-06,2.55e-06,1.865e-06
1.991e-06,1.553e-06,2.703e-06,1.97e-06
2.139e-06,1.611e-06,4.086e-06,1.98e-06
2.066e-06,1.412e-06,2.676e-06,1.994e-06
2.182e-06,1.53e-06,2.874e-06,2.198e-06
2.697e-06,1.727e-06,5.181e-06,2.287e-06
2.328e-06,7.15e-07,4.651e-06,2.151e-06
2.053e-06,1.636e-06,2.462e-06,2.075e-06
2.103e-06,8.07e-07,3.179e-06,2.107e-06
2.048e-06,1.56e-06,3.379e-06,1.95e-06
2.438e-06,2.94e-07,8.197e-06,2.129e-06
2.061e-06,1.358e-06,2.951e-06,2.082e-06
2.068e-06,1.306e-06,3.691e-06,2.049e-06
2.507e-06,1.314e-06,1.3743e-05,1.907e-06
5.933e-06,3.76e-07,2.9309e-05,2.062e-06
2.844e-06,1.631e-06,1.3734e-05,1.999e-06
3.311e-06,1.513e-06,3.1647e-05,2.198e-06
3.886e-06,1.495e-06,4.8199e-05,2.116e-06
8.01e-06,3.52e-07,6.9355e-05,2.122e-06
6.396e-06,1.609e-06,8.9685e-05,2.08e-06
5.755e-06,1.706e-06,9.5408e-05,1.918e-06
5.254e-06,1.51e-06,8.3525e-05,1.897e-06
9.126e-06,3.43e-07,9.0634e-05,2.264e-06
6.695e-06,1.436e-06,5.5509e-05,2.01e-06
3.603e-06,1.38e-06,4.1414e-05,2.011e-06
2.229e-06,1.23e-06,7.316e-06,2.009e-06
3.557e-06,4.3e-07,1.6653e-05,2.318e-06
2.033e-06,1.225e-06,3.023e-06,1.909e-06
2.026e-06,1.127e-06,2.748e-06,2.038e-06
2.074e-06,1.458e-06,3.017e-06,2.056e-06
7.608e-06,2.94e-07,7.1702e-05,1.937e-06
2.041e-06,1.666e-06,2.558e-06,1.984e-06
2.07e-06,1.584e-06,2.707e-06,2.08e-06
2.071e-06,6.01e-07,3.312e-06,2.009e-06
7.881e-06,3.31e-07,7.3058e-05,2.43e-06
2.022e-06,1.587e-06,2.684e-06,2e-06
1.986e-06,1.654e-06,2.35e-06,1.987e-06
1.973e-06,1.569e-06,2.439e-06,1.932e-06
6.863e-06,2.83e-07,6.2077e-05,2.051e-06
2.122e-06,1.44e-06,3.643e-06,2.007e-06
2.008e-06,1.55e-06,2.975e-06,1.93e-06
1.969e-06,1.314e-06,2.43e-06,1.94e-06
6.714e-06,3.05e-07,6.0949e-05,1.981e-06
1.95e-06,1.706e-06,2.386e-06,1.89e-06
3.989e-06,1.534e-06,4.9925e-05,2.091e-06
2.271e-06,6.09e-07,6.932e-06,2.02e-06
7.286e-06,2.93e-07,4.0685e-05,2.34e-06
2.087e-06,1.606e-06,3.076e-06,2.065e-06
2.577e-06,1.731e-06,1.2885e-05,2.044e-06
4.837e-06,1.495e-06,6.9558e-05,1.991e-06
8.893e-06,2.69e-07,3.6507e-05,2.318e-06
2.094e-06,1.631e-06,2.995e-06,2.058e-06
2.054e-06,1.675e-06,2.431e-06,2.035e-06
2.112e-06,1.733e-06,2.802e-06,2.099e-06
7.561e-06,2.87e-07,3.3529e-05,2.224e-06
2.376e-06,1.555e-06,9.686e-06,2.044e-06
2.405e-06,1.213e-06,1.202e-05,1.973e-06
2.65e-06,1.664e-06,1.5071e-05,2.041e-06
7.165e-06,3.02e-07,6.6405e-05,2.022e-06
5.031e-06,7.13e-07,7.3498e-05,2.013e-06
6.026e-06,1.557e-06,9.1213e-05,2.092e-06
6.797e-06,1.254e-06,9.9032e-05,2.11e-06
1.5452e-05,3.14e-07,0.000114997,2.306e-06
7.994e-06,1.523e-06,5.683e-05,2.038e-06
5.948e-06,1.603e-06,9.4511e-05,2.012e-06
6.545e-06,1.642e-06,8.1306e-05,2.334e-06
2.3665e-05,2.91e-07,5.7146e-05,1.9291e-05
8.403e-06,1.697e-06,8.7531e-05,2.299e-06
1.0205e-05,3.6e-07,0.000110615,2.343e-06
1.5652e-05,2.68e-07,0.000134323,2.305e-06
4.0968e-05,3.04e-07,0.000152003,2.9031e-05
2.7998e-05,1.778e-06,0.000187051,1.3456e-05
3.2279e-05,6.58e-07,0.000122872,2.0593e-05
3.72e-05,1.228e-06,0.000132577,1.6913e-05
6.4154e-05,3.04e-07,0.000183321,6.7545e-05
4.3185e-05,1.371e-06,0.000155173,1.9644e-05
1.0952e-05,1.609e-06,6.0444e-05,2.326e-06
1.0712e-05,1.576e-06,7.7989e-05,2.271e-06
2.4379e-05,2.95e-07,0.00011665,2.332e-06
1.2259e-05,4.63e-07,0.000103617,2.2e-06
1.1269e-05,1.468e-06,0.000142744,2.221e-06
1.4802e-05,1.666e-06,6.809e-05,2.467e-06
3.293e-05,3.61e-07,0.000118234,3.2005e-05
1.8308e-05,1.671e-06,0.000128101,2.788e-06
1.5391e-05,1.619e-06,0.000109886,2.258e-06
1.8739e-05,1.854e-06,0.000106046,1.1641e-05
4.0174e-05,2.88e-07,9.5287e-05,3.5172e-05
3.0307e-05,3.76e-07,0.000179454,1.0451e-05
3.0923e-05,3.33e-07,0.000205903,1.2166e-05
2.2777e-05,1.515e-06,0.000137197,3.292e-06
2.9773e-05,2.5e-07,7.9276e-05,3.0293e-05
1.7827e-05,3.6e-07,9.1133e-05,6.252e-06
1.7656e-05,3.46e-07,7.0641e-05,4.075e-06
1.7932e-05,1.269e-06,5.5839e-05,7.623e-06
2.4658e-05,2.78e-07,0.000131134,6.062e-06
1.6232e-05,3.29e-07,0.000102197,3.496e-06
1.8019e-05,4.24e-07,0.000128385,2.855e-06
1.4907e-05,3.86e-07,0.000113311,2.215e-06
2.3384e-05,2.94e-07,9.0065e-05,1.3076e-05
1.2528e-05,2.76e-07,0.000108056,2.207e-06
1.7298e-05,2.62e-07,0.000140525,2.235e-06
1.6386e-05,2.64e-07,0.00011088,2.07e-06
3.0922e-05,2.87e-07,0.000118902,2.5994e-05
9.715e-06,3.54e-07,8.2863e-05,2.12e-06
6.093e-06,3.54e-07,3.6721e-05,2.185e-06
9.128e-06,3.38e-07,6.2161e-05,2.023e-06
2.301e-05,2.77e-07,0.000108324,4.808e-06
1.0868e-05,3.24e-07,8.9089e-05,2.073e-06
1.2085e-05,2.65e-07,8.9061e-05,2.022e-06
1.6028e-05,3.69e-07,0.000102706,1.939e-06
3.0502e-05,3.26e-07,0.000103814,2.384e-06
8.091e-06,4.12e-07,5.9884e-05,2.023e-06
7.933e-06,5.65e-07,4.5387e-05,2.105e-06
5.27e-06,1.292e-06,5.319e-05,1.998e-06
1.9114e-05,2.64e-07,9.4355e-05,3.272e-06
1.536e-05,1.408e-06,0.00017296,2.096e-06
1.1939e-05,1.245e-06,0.000146129,2.078e-06
9.632e-06,1.58e-06,0.000127155,2.113e-06
2.6245e-05,3.53e-07,0.000155999,2.152e-06
1.8619e-05,1.67e-06,0.000221802,2.145e-06
1.5515e-05,1.589e-06,0.000170943,2.061e-06
1.1151e-05,4.76e-07,0.000154371,2.158e-06
4.9e-05,3.04e-07,0.000311169,2.579e-06
2.2326e-05,7.12e-07,0.000180844,2.271e-06
3.0472e-05,1.393e-06,0.000228864,5.143e-06
3.2315e-05,8.73e-07,0.000183342,2.41e-06
5.9769e-05,2.77e-07,0.00025853,2.7202e-05
2.7162e-05,9.7e-07,0.000178915,5.797e-06
2.4449e-05,1.765e-06,0.000167163,2.303e-06
2.5833e-05,5.91e-07,0.000129203,1.4326e-05
4.7382e-05,2.98e-07,0.000165866,3.7199e-05
2.9994e-05,2.54e-07,0.000120633,1.5079e-05
2.6556e-05,1.417e-06,8.976e-05,6.777e-06
3.4e-05,7.14e-07,0.000196339,3.719e-06
7.3739e-05,3.05e-07,0.00023657,5.5799e-05
6.6869e-05,1.754e-06,0.000463941,2.1122e-05
4.2744e-05,1.909e-06,0.000265621,7.302e-06
2.8516e-05,1.414e-06,0.000217227,2.581e-06
4.9374e-05,2.94e-07,0.000146762,4.3406e-05
5.3816e-05,1.798e-06,0.00069207,8.363e-06
2.3806e-05,1.414e-06,0.000428894,2.433e-06
9.352e-06,1.614e-06,0.000103994,2.08e-06
1.7049e-05,2.74e-07,8.5159e-05,5.002e-06
1.0382e-05,1.438e-06,5.4532e-05,2.204e-06
1.0084e-05,1.664e-06,7.5863e-05,2.042e-06
1.2448e-05,1.427e-06,8.1051e-05,2.196e-06
2.2218e-05,2.8e-07,0.000104434,2.29e-06
9.687e-06,1.484e-06,8.7075e-05,2.014e-06
1.2658e-05,1.827e-06,7.3826e-05,2.081e-06
1.314e-05,1.625e-06,9.2379e-05,2.234e-06
4.6798e-05,3.36e-07,0.000145032,2.048e-06
1.1982e-05,1.875e-06,0.000106858,2.063e-06
1.8676e-05,1.698e-06,0.000151049,2.119e-06
1.6614e-05,1.759e-06,0.000180415,2.087e-06
2.5871e-05,3.59e-07,0.000121981,3.448e-06
1.5495e-05,1.684e-06,0.000203231,2.104e-06
1.5766e-05,1.128e-06,0.000212414,2.11e-06
1.6176e-05,1.691e-06,0.000204039,2.175e-06
1.9048e-05,2.96e-07,0.000182016,2.114e-06
1.5077e-05,1.475e-06,0.00018063,2.184e-06
2.1532e-05,1.729e-06,0.000164733,2.403e-06
2.2131e-05,1.228e-06,0.000141699,2.129e-06
6.9471e-05,2.92e-07,0.000409473,2.7386e-05
