0_MainRank-Duration_s,0_MainRank-Bandwidth_Gb/s
0.00069717,192.517944336
0.00069618,192.791702271
0.00069718,192.515182495
0.00069732,192.476531982
0.000696805,192.618774414
0.000696605,192.674072266
0.00069671,192.64503479
0.000695225,193.056518555
0.00069685,192.606338501
0.00069682,192.614639282
0.000696265,192.768157959
0.000696695,192.649185181
0.00069676,192.631210327
0.000696425,192.723892212
0.00069543,192.999633789
0.000696715,192.64364624
0.00069553,192.971878052
0.0006959,192.869277954
0.00069496,193.130142212
0.000695505,192.978805542
0.000696345,192.746017456
0.00074162,180.979110718
0.000696875,192.599441528
0.000696275,192.765411377
0.000695945,192.856811523
0.00069616,192.797241211
0.000697105,192.535873413
0.00069651,192.7003479
0.00069586,192.880355835
0.00069638,192.736343384
0.000696515,192.698974609
0.000696305,192.757095337
0.000696375,192.737716675
0.000696125,192.806945801
0.000696415,192.726638794
0.00069711,192.534500122
0.00069641,192.728027344
0.000696635,192.665786743
0.000695845,192.884521484
0.000697185,192.513793945
0.00069706,192.548309326
0.00069678,192.625686646
0.000694975,193.125976562
0.000696285,192.762634277
0.00069524,193.052368164
0.000697585,192.403396606
0.000696955,192.577316284
0.000696015,192.837402344
0.00069755,192.41305542
0.000696675,192.654724121
0.00069677,192.628463745
0.00069616,192.797241211
0.000696385,192.734954834
0.000696435,192.721115112
0.0006972,192.509643555
0.000696395,192.732177734
0.000696135,192.804168701
0.00069544,192.996856689
0.000696575,192.682388306
0.00069744,192.443405151
0.00069636,192.741867065
0.000696985,192.569030762
0.00069687,192.600814819
0.000695875,192.876205444
0.000695885,192.873443604
0.000696815,192.616012573
0.000696865,192.60218811
0.000697485,192.430984497
0.00069576,192.908081055
0.000695915,192.865112305
0.00069667,192.656112671
0.00069667,192.656112671
0.000697245,192.4972229
0.00069709,192.540023804
0.00069697,192.573181152
0.00069731,192.479278564
0.00069652,192.697601318
0.000696865,192.60218811
0.000695325,193.028762817
0.00069682,192.614639282
0.00069701,192.56211853
0.000696525,192.696212769
0.00069597,192.849868774
0.000696575,192.682388306
0.000695975,192.848495483
0.00069704,192.553833008
0.000697485,192.430984497
0.00069716,192.520690918
0.00069668,192.653335571
0.000695875,192.876205444
0.00069485,193.160720825
0.000697335,192.472381592
0.0006967,192.64781189
0.000696645,192.663009644
0.000696225,192.779251099
0.000696875,192.599441528
0.00069613,192.805557251
0.00069657,192.683776855
0.00069575,192.910858154
0.000695815,192.892822266
0.0006958,192.896987915
0.00069446,193.269195557
0.0006962,192.78616333
0.00069672,192.642288208
0.0006965,192.703125
0.00069609,192.816635132
0.00069608,192.819412231
0.00069642,192.725265503
0.000696645,192.663009644
0.00069714,192.5262146
0.000696475,192.71005249
0.000696875,192.599441528
0.00069632,192.752929688
0.000696935,192.582855225
0.000696725,192.640899658
0.000697085,192.541412354
0.000696915,192.588363647
0.000696385,192.734954834
0.0006973,192.482040405
0.000697225,192.502746582
0.000696045,192.829101562
0.00069767,192.379974365
0.000696665,192.657485962
0.00069593,192.860961914
0.000696355,192.743255615
0.000696675,192.654724121
0.0006963,192.758483887
0.00069736,192.46546936
0.00069741,192.451675415
0.00069707,192.545562744
0.00069731,192.479278564
0.000696045,192.829101562
0.00069685,192.606338501
0.000696755,192.632598877
0.0006965,192.703125
0.000696205,192.78477478
0.000695335,193.026000977
0.000697255,192.49446106
0.0006959,192.869277954
0.00069732,192.476531982
0.00069694,192.581466675
0.000714895,187.744659424
0.00069686,192.60357666
0.000696795,192.621536255
0.00069606,192.824935913
0.00069636,192.741867065
0.00069681,192.617385864
0.00069721,192.506881714
0.000697045,192.552459717
0.000697175,192.516555786
0.00069671,192.64503479
0.000695665,192.934417725
0.00069657,192.683776855
0.000697525,192.419952393
0.00069763,192.390991211
