0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
29.69,0.0,0.0,29.34,0.0,0.0
29.47,0.0,0.0,30.68,0.0,0.0
88.92,0.0,0.0,44.18,0.0,0.0
32.18,0.0,0.0,29.29,0.0,0.0
29.76,0.0,0.0,29.58,0.0,0.0
29.84,0.0,0.0,29.5,0.0,0.0
29.92,0.0,0.0,29.76,0.0,0.0
29.92,0.0,0.0,30.25,0.0,0.0
30.17,0.0,0.0,29.35,0.0,0.0
29.67,0.0,0.0,29.54,0.0,0.0
29.7,0.0,0.0,29.39,0.0,0.0
29.45,0.0,0.0,37.57,0.0,0.0
37.32,0.0,0.0,29.4,0.0,0.0
40.45,0.0,0.0,29.37,0.0,0.0
42.72,0.0,0.0,32.67,0.0,0.0
29.61,0.0,0.0,29.56,0.0,0.0
