0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
33.0,0.99,0.87,61.58,0.53,0.47
68.65,0.48,0.42,66.63,0.49,0.43
32.82,1.0,0.87,34.33,0.95,0.84
32.97,0.99,0.87,32.69,1.0,0.88
32.99,0.99,0.87,32.79,1.0,0.87
32.82,1.0,0.87,34.7,0.94,0.83
33.02,0.99,0.87,32.92,1.0,0.87
32.92,1.0,0.87,33.12,0.99,0.87
33.1,0.99,0.87,32.61,1.0,0.88
35.23,0.93,0.81,32.46,1.01,0.88
32.9,1.0,0.87,36.72,0.89,0.78
33.03,0.99,0.87,32.85,1.0,0.87
32.78,1.0,0.87,32.61,1.0,0.88
33.01,0.99,0.87,32.78,1.0,0.87
32.89,1.0,0.87,32.76,1.0,0.88
32.83,1.0,0.87,32.61,1.0,0.88
