1_BW_peak_gbit/s,1_BW_average_gbit/s,1_MsgRate_mpp/s
0.0,61.45,7.500995
60.7,59.97,7.320945
0.0,62.26,7.599663
0.0,61.83,7.547487
0.0,61.45,7.501471
