size,"('cn-eth', 'cn-ib')","('cn-eth', 'haicgu2')","('cn-ib', 'cn-eth')","('cn-ib', 'haicgu2')","('haicgu2', 'cn-eth')","('haicgu2', 'cn-ib')",cn-eth,cn-ib,haicgu2
128MiB,1.0246454782572068,1.001774933509499,0.975947311748132,0.9776795533352592,0.9982282112976405,1.022830022974907,0.20237719575731283,0.19750948015847491,0.20201862612825483
16MiB,0.9779281367843755,1.0044072147290604,1.0225700257364527,1.027076711415374,0.9956121235845073,0.9736371089769326,0.24962994468961042,0.2552640989658442,0.24853459934270614
1GiB,1.0129945460636531,0.9981399090606571,0.9871721460750721,0.9853359161105861,1.0018635573254389,1.0148823194705998,0.21287394652628847,0.21014323063582632,0.21327064932873263
256KiB,0.8151580901035107,0.9920831670287087,1.226755904333867,1.2170438827427101,1.0079800093726037,0.8216630593026903,0.16243766438833954,0.19927136387459865,0.16373391847262234
2MiB,0.9927303391169484,1.0004812327358448,1.0073228958525817,1.007807652605632,0.9995189987377087,0.9922528345707181,0.2764272769105888,0.2784515250702178,0.276294315041463
32KiB,0.8193346747149214,0.9525612340318742,1.2205024770225172,1.1626033456515283,1.0498012770972562,0.8601385878857896,0.10900006633827891,0.13303485096148812,0.11442840884561085
4B,0.5112585122260557,0.9608217482652385,1.9559576536846877,1.8793266523460954,1.0407757753251294,0.5321054744536453,9.43966531008074e-05,0.00018463585611474265,9.824574981909011e-05
4KiB,0.7414901298761941,0.9479718829743483,1.3486356186116315,1.2784686468215434,1.054883607794789,0.7821857833480262,0.03596188816685736,0.04849948329435198,0.03793560633256722
512B,0.6139662994027119,0.9285986045384148,1.6287538924739606,1.512458591687831,1.0768915601559375,0.6611751260469538,0.007723348630667161,0.012579434145132573,0.008317208956507383
64B,0.5917399250952979,0.9676319364860447,1.6899316027035916,1.6352317892530415,1.0334508011708459,0.611534099674512,0.0011770374836385588,0.001989112841167512,0.0012164103304743849
8B,0.5027782617185151,0.9543670169373619,1.9889483618125459,1.898186714905492,1.0478149205209102,0.5268185643422273,0.00018758694901590013,0.0003731007549425881,0.00019655640407385545
