size,"('cn-eth', 'cn-ib')","('cn-ib', 'cn-eth')",cn-eth,cn-ib
128MiB,1.01735864802895,0.9829375333245745,0.8172425086602568,0.8032983355905
16MiB,0.9995367957171429,1.000463418940495,0.9318142959602183,0.9322461163539902
1GiB,1.0064851210094796,0.9935566647990034,0.8604226166760262,0.854878625342264
256KiB,1.0026934856955176,0.9973137496812904,0.5301205590154289,0.5286965224948191
2MiB,0.9938529665039502,1.0061850532254013,0.9451589180989214,0.9510047763138259
32KiB,0.9049555780023126,1.1050266160108075,0.2807344531163362,0.31021904272478973
4B,0.6537915205398354,1.5295395681704473,0.0002681922281694216,0.00041021062486092726
4KiB,0.8624136133128768,1.1595364272586082,0.11843528243666145,0.13733002425797058
512B,0.7711049249179627,1.2968403750065391,0.0260288671973502,0.03375528589720704
64B,0.7038514011893379,1.4207544352547186,0.004000621457174515,0.005683900679055887
8B,0.6524052930696572,1.5327895261162912,0.0005344134679222041,0.0008191433662466391
