0_groupStartEnd_s,0_initRank_s
17.048502,0.077847
16.98273,0.161884
16.594014,0.188636
16.038938,0.61247
16.823556,0.23409
16.53579,0.164439
16.856578,0.168964
16.333215,0.162195
16.671042,0.171064
16.870141,0.163979
16.581851,0.167042
17.154312,0.193068
16.800789,0.535747
17.010079,0.171194
16.277906,0.201193
16.802448,0.229336
16.942045,0.187357
16.948907,0.180348
16.575867,0.187103
16.851385,0.234063
16.595865,0.180619
16.610265,0.189335
16.824941,0.233594
16.823539,0.234402
16.949576,0.179718
16.943493,0.182741
17.143113,0.180178
16.585201,0.179651
16.560587,0.188603
16.952011,0.185073
16.847344,0.191736
16.85449,0.184298
16.944328,0.185697
16.583893,0.193922
16.835957,0.232933
16.569471,0.193746
16.572535,0.188994
16.58866,0.195059
16.948801,0.188664
16.851224,0.191044
16.847942,0.190287
16.974567,0.163567
16.94521,0.187963
16.959854,0.181001
16.964239,0.18477
16.943555,0.185991
16.572436,0.194456
16.564989,0.187573
16.843847,0.229295
16.823935,0.233241
16.839522,0.1916
16.948902,0.188614
17.134372,0.188715
16.828602,0.232285
17.132197,0.190924
17.1391,0.191789
16.581597,0.187688
17.160273,0.171233
16.940964,0.18584
16.856929,0.186233
16.584409,0.193954
16.836264,0.190623
16.561609,0.188174
17.132687,0.191914
17.162148,0.173033
16.269538,0.22152
16.254045,0.221654
16.269233,0.210705
16.27005,0.205519
16.269634,0.222036
16.255587,0.221043
16.263224,0.212335
16.819737,0.194332
16.834167,0.195447
16.823253,0.195014
16.825785,0.188357
16.83136,0.195381
16.811969,0.194491
16.788051,0.233858
16.789118,0.23007
16.784424,0.233892
16.785398,0.234432
16.789255,0.229845
16.7896,0.228643
16.796689,0.234353
16.810906,0.195447
16.286995,0.192977
16.26295,0.188986
16.277186,0.191062
16.276998,0.190093
16.287293,0.193556
16.26728,0.192242
16.259505,0.19316
16.812919,0.555845
16.794214,0.554744
16.801138,0.555285
16.804794,0.554899
16.793227,0.555109
16.809181,0.554304
16.793218,0.554688
16.9977,0.191929
16.997016,0.192414
16.992748,0.189649
17.009048,0.188059
16.989702,0.191951
17.001795,0.18016
16.991091,0.191547
16.646678,0.191915
16.663588,0.176142
16.663814,0.190885
16.662286,0.191983
16.64635,0.192681
16.669119,0.189328
16.646566,0.192975
16.043033,0.612435
16.031863,0.611952
16.039235,0.612559
16.046826,0.612558
16.039191,0.612322
16.03191,0.612503
16.031785,0.61315
16.493882,0.190867
16.493215,0.191333
16.505001,0.191372
16.515521,0.184355
16.521077,0.191116
16.519431,0.177933
16.493534,0.191088
