size,"('inter-switch', 'intra-switch')","('intra-switch', 'inter-switch')",inter-switch,intra-switch
128MiB,0.9878243554892565,1.012325718072332,0.18493260525431368,0.18721203240906018
16MiB,0.988946797856619,1.0111767409200747,0.1918387578731879,0.1939828899683655
1GiB,1.002732078728173,0.997275365188637,0.19314531823211728,0.19261906777441026
256KiB,0.8433964288783468,1.1856820419905312,0.11534231190763915,0.13675930791055835
2MiB,0.9706838771542737,1.0302015141445138,0.16479761110157476,0.16977474848424104
32KiB,0.8002362042409322,1.249631039810995,0.05977537270644823,0.07469716115024867
4B,0.6844507416018071,1.461025519031098,3.8654703875921334e-05,5.647550879331136e-05
4KiB,0.8230260168859812,1.2150284188871956,0.023600337684687958,0.028675080982230306
512B,0.6749462277634276,1.48159950951012,0.004595779453677779,0.006809104584385685
64B,0.6678665030643426,1.4973052180514277,0.0005911250762966419,0.0008850946612600104
8B,0.651462522116538,1.535007718864775,7.971373109138863e-05,0.00012236119252479255
