size,inter-switch
128MiB,0.1880886688009403
16MiB,0.19357349188668277
1GiB,0.1870545567261401
256KiB,0.10549945822251301
2MiB,0.17352749514013743
32KiB,0.04160450903322752
4B,2.627262044999528e-05
4KiB,0.013824652589986585
512B,0.002811706399329239
64B,0.0004113634987044824
8B,4.9357774156517695e-05
