size,"('inter-switch', 'intra-switch')","('intra-switch', 'inter-switch')",inter-switch,intra-switch
128MiB,0.963470086385175,1.0379149432151868,0.08823657191816689,0.09158205653194694
16MiB,0.9473090490830869,1.055621711803464,0.09744287089731493,0.10286281017966754
1GiB,0.9673283554430545,1.0337751337207326,0.08780251492075211,0.09076805660321713
256KiB,0.8410577857104172,1.188978946500482,0.0653797841016576,0.07773518682361781
2MiB,0.9695493357144085,1.0314070291875905,0.09825201956689203,0.10133782361316912
32KiB,0.7628777327774687,1.310826043328361,0.04035180524956755,0.05289419721644721
4B,0.5090738229124373,1.9643516421232365,1.9042580855443952e-05,3.7406324973655835e-05
4KiB,0.6381302776174457,1.5670781266384175,0.011357484970142469,0.017798066270334843
512B,0.5545440484369398,1.8032832609395777,0.001956461507731757,0.0035280542875652855
64B,0.5371645268916225,1.8616270247528062,0.00027043263059993596,0.0005034446934998335
8B,0.48691361375261405,2.0537523941732907,3.667125382779268e-05,7.531367534616567e-05
