0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
1.871e-05,2.93e-07,0.000174201,2.115e-06
6.478e-06,1.216e-06,5.0653e-05,2.241e-06
5.903e-06,1.757e-06,2.8021e-05,2.226e-06
4.929e-06,1.52e-06,3.5313e-05,2.087e-06
1.5638e-05,3.24e-07,8.7755e-05,2.156e-06
8.836e-06,1.714e-06,3.5805e-05,2.165e-06
9.775e-06,1.737e-06,6.4642e-05,2.117e-06
1.4917e-05,1.535e-06,7.842e-05,2.124e-06
4.0088e-05,2.53e-07,0.000244631,5.119e-06
1.3377e-05,1.678e-06,0.000118386,2.481e-06
1.2052e-05,1.704e-06,9.3828e-05,2.185e-06
1.0078e-05,1.555e-06,0.000110696,2.072e-06
2.5675e-05,2.94e-07,0.000136104,2.794e-06
1.3243e-05,1.62e-06,0.000124828,2.143e-06
1.0622e-05,1.461e-06,0.000139174,2.164e-06
1.2873e-05,1.3e-06,0.000126733,2.151e-06
2.9934e-05,2.9e-07,0.000190088,3.326e-06
1.5008e-05,1.751e-06,0.000111554,2.519e-06
1.4722e-05,8.25e-07,0.000147698,2.506e-06
1.3708e-05,1.598e-06,0.000139698,2.211e-06
2.4853e-05,2.62e-07,0.000113836,2.668e-06
1.224e-05,1.712e-06,5.6682e-05,2.491e-06
1.0719e-05,1.23e-06,9.6868e-05,2.184e-06
1.095e-05,1.427e-06,7.8772e-05,2.359e-06
3.4248e-05,2.72e-07,0.000234748,2.268e-06
1.3584e-05,3.08e-07,0.000134013,2.177e-06
1.2747e-05,3.16e-07,0.000114066,2.29e-06
1.1825e-05,2.77e-07,9.4939e-05,2.059e-06
2.3957e-05,2.54e-07,0.000138165,2.189e-06
8.673e-06,2.93e-07,6.963e-05,2.171e-06
8.804e-06,2.94e-07,6.4478e-05,2.371e-06
9.856e-06,2.94e-07,7.4277e-05,2.183e-06
2.6774e-05,2.79e-07,0.000169723,2.111e-06
7.845e-06,4.64e-07,4.6929e-05,2.222e-06
4.536e-06,2.94e-07,2.3036e-05,2.193e-06
2.884e-06,5.93e-07,1.9476e-05,2.035e-06
2.0191e-05,2.89e-07,0.00018002,2.08e-06
3.444e-06,1.705e-06,1.6464e-05,2.012e-06
4.558e-06,2.9e-07,3.5341e-05,1.9e-06
5.518e-06,2.82e-07,4.5293e-05,2.142e-06
3.1863e-05,2.93e-07,0.000194117,2.045e-06
2.163e-06,1.46e-06,2.911e-06,2.055e-06
2.11e-06,1.666e-06,3.076e-06,2.045e-06
2.025e-06,1.651e-06,2.833e-06,1.963e-06
1.012e-05,2.76e-07,0.000102241,1.951e-06
2.118e-06,1.557e-06,3.094e-06,1.995e-06
2.111e-06,1.58e-06,2.855e-06,2.126e-06
2.079e-06,1.462e-06,2.557e-06,2.051e-06
7.458e-06,2.85e-07,6.1908e-05,2.274e-06
6.079e-06,1.584e-06,6.26e-05,2.041e-06
7.427e-06,1.678e-06,0.000135695,2.12e-06
8.189e-06,1.289e-06,0.000156158,2.07e-06
1.3741e-05,2.9e-07,0.000140439,2.069e-06
5.421e-06,1.546e-06,4.3007e-05,2.144e-06
5.188e-06,1.625e-06,4.622e-05,1.984e-06
3.535e-06,1.463e-06,3.0331e-05,2.089e-06
1.2831e-05,2.57e-07,0.000126711,2.168e-06
8.988e-06,1.581e-06,5.7731e-05,2.238e-06
6.651e-06,1.583e-06,8.2457e-05,2.136e-06
5.631e-06,1.46e-06,9.1507e-05,2.001e-06
1.3498e-05,3.35e-07,0.000125096,2.373e-06
1.3233e-05,1.527e-06,9.3708e-05,2.107e-06
6.7e-06,1.592e-06,6.9489e-05,2.251e-06
7.756e-06,1.443e-06,0.000102693,2.154e-06
1.5153e-05,2.49e-07,9.1198e-05,2.777e-06
7.412e-06,1.802e-06,6.6286e-05,2.314e-06
7.834e-06,1.62e-06,7.285e-05,2.261e-06
5.748e-06,1.257e-06,4.101e-05,2.05e-06
8.689e-06,1.294e-06,3.9019e-05,2.462e-06
7.506e-06,1.578e-06,8.7809e-05,1.959e-06
8.9e-06,4.63e-07,7.6998e-05,2.124e-06
7.584e-06,1.667e-06,5.2168e-05,2.024e-06
1.8016e-05,2.63e-07,0.000149086,3.307e-06
9.746e-06,1.638e-06,8.2691e-05,2.267e-06
1.4398e-05,1.521e-06,0.000207607,2.224e-06
1.3272e-05,1.52e-06,0.000147723,2.098e-06
1.6902e-05,2.69e-07,0.000111774,2.531e-06
2.1911e-05,1.331e-06,0.000171912,2.161e-06
1.4571e-05,2.88e-07,0.000106046,2.225e-06
1.6444e-05,2.9e-07,0.000165386,2.058e-06
6.6637e-05,2.88e-07,0.00021398,2.198e-06
1.1339e-05,1.726e-06,0.000229649,2.218e-06
1.0632e-05,1.753e-06,0.000213012,2.254e-06
7.35e-06,1.716e-06,0.000134662,2.019e-06
1.0722e-05,2.97e-07,0.000110797,1.95e-06
1.6283e-05,1.508e-06,0.000169577,2.285e-06
1.8533e-05,1.66e-06,0.000169362,2.104e-06
7.851e-06,1.553e-06,9.3777e-05,1.984e-06
6.874e-06,2.83e-07,4.8793e-05,2.026e-06
5.327e-06,1.641e-06,3.2034e-05,2.156e-06
2.051e-06,1.484e-06,2.711e-06,2.045e-06
2.029e-06,1.455e-06,2.584e-06,2.01e-06
2.917e-06,3.2e-07,1.2114e-05,2.133e-06
2.264e-06,1.717e-06,5.143e-06,2.004e-06
2.448e-06,1.394e-06,1.1418e-05,2.069e-06
2.698e-06,1.51e-06,1.6423e-05,2.127e-06
2.975e-06,1.138e-06,2.2015e-05,2.122e-06
4.745e-06,1.638e-06,5.9382e-05,1.995e-06
6.288e-06,1.55e-06,5.7099e-05,2.029e-06
6.468e-06,1.691e-06,5.7385e-05,1.992e-06
1.7243e-05,3.77e-07,8.8744e-05,2.055e-06
9.523e-06,1.487e-06,9.7414e-05,2.231e-06
1.4877e-05,1.599e-06,0.000195243,2.119e-06
2.1145e-05,1.152e-06,0.000258844,2.229e-06
9.6586e-05,3.05e-07,0.000478975,3.1151e-05
2.4127e-05,1.745e-06,0.000205385,2.167e-06
2.2065e-05,1.679e-06,0.000176138,2.061e-06
1.2909e-05,1.633e-06,0.000103624,2.074e-06
2.5235e-05,3.72e-07,0.000174019,2.329e-06
1.6998e-05,3.45e-07,0.000147467,2.127e-06
1.1192e-05,1.362e-06,0.000115051,2.111e-06
1.3668e-05,1.447e-06,7.9555e-05,2.057e-06
3.9833e-05,3.3e-07,0.000150478,3.1409e-05
2.9098e-05,1.851e-06,0.00012232,3.021e-06
3.2156e-05,1.561e-06,0.000107496,5.718e-06
3.5393e-05,1.662e-06,0.000184845,6.04e-06
6.6573e-05,3.1e-07,0.000192404,6.4426e-05
4.7507e-05,1.794e-06,0.000159472,2.149e-05
3.7492e-05,1.756e-06,0.000141758,1.9513e-05
4.5325e-05,1.995e-06,0.000199882,2.0375e-05
6.6661e-05,3.13e-07,0.000162488,6.7175e-05
5.0943e-05,1.737e-06,0.000218116,3.0507e-05
5.0548e-05,2.78e-07,0.000213945,1.6258e-05
4.2145e-05,1.742e-06,0.000225326,1.783e-05
9.0104e-05,3.38e-07,0.000223677,8.7567e-05
4.3615e-05,1.445e-06,0.000288321,3.065e-06
4.6084e-05,1.374e-06,0.000260762,2.426e-06
2.8475e-05,1.737e-06,0.000162428,2.238e-06
4.7083e-05,2.9e-07,0.00018104,3.4124e-05
2.0583e-05,1.523e-06,8.2554e-05,2.305e-06
2.2498e-05,3.12e-07,0.000122156,2.658e-06
1.9719e-05,1.612e-06,0.000131765,2.324e-06
3.6736e-05,3.17e-07,0.000139834,1.9791e-05
1.6547e-05,1.714e-06,0.000109422,2.509e-06
1.9469e-05,1.513e-06,0.000107159,2.292e-06
2.2443e-05,3.54e-07,0.000112372,2.344e-06
2.4898e-05,3.33e-07,0.000149966,3.479e-06
7.15e-06,2.89e-07,4.8801e-05,2.038e-06
7.112e-06,3.82e-07,4.2721e-05,2.145e-06
7.872e-06,2.66e-07,4.9331e-05,2.205e-06
2.3092e-05,3.07e-07,0.000123674,2.151e-06
1.0963e-05,3.4e-07,6.6556e-05,2.19e-06
5.541e-06,1.549e-06,5.569e-05,2.116e-06
5.369e-06,1.439e-06,3.3036e-05,2.162e-06
1.5728e-05,3.25e-07,7.9052e-05,7.383e-06
3.892e-06,1.699e-06,3.3542e-05,2.041e-06
3.022e-06,1.528e-06,1.3723e-05,1.941e-06
4.678e-06,3.02e-07,2.5361e-05,2.063e-06
1.0947e-05,2.92e-07,5.0313e-05,2.286e-06
7.231e-06,1.62e-06,4.4302e-05,2.165e-06
3.76e-06,1.454e-06,3.6937e-05,2.05e-06
4.151e-06,1.464e-06,3.8969e-05,2.048e-06
1.4828e-05,3.13e-07,4.7201e-05,1.1159e-05
7.124e-06,2.69e-07,4.1063e-05,2.058e-06
1.2776e-05,2.78e-07,5.2234e-05,2.172e-06
