0_Transfer Time_s,0_Bandwidth_GB/s
4.7191e-05,20.693829332
4.6185e-05,21.144352665
4.8369e-05,20.189842668
4.717e-05,20.703042188
4.6591e-05,20.960324955
4.8047e-05,20.325150374
4.5717e-05,21.361036376
4.7619e-05,20.507833008
4.644e-05,21.028477606
4.6587e-05,20.962349608
4.8161e-05,20.276829002
4.8068e-05,20.3162707
4.7135e-05,20.718195415
4.8688e-05,20.057560384
4.8146e-05,20.283356873
4.8018e-05,20.33763732
4.8328e-05,20.206762056
4.6815e-05,20.860034177
4.7873e-05,20.399237558
4.7578e-05,20.525721192
4.8075e-05,20.313312533
4.7015e-05,20.771075496
4.6993e-05,20.781241688
4.5723e-05,21.358233274
4.7931e-05,20.374127661
4.7284e-05,20.653346305
4.6947e-05,20.801603953
4.7136e-05,20.717755879
4.6132e-05,21.168644665
5.0559e-05,19.315495911
5.457e-05,17.895592817
5.0728e-05,19.250766335
4.7066e-05,20.749009359
4.6836e-05,20.850903695
4.7239e-05,20.672802134
4.8444e-05,20.158793233
4.8294e-05,20.221406608
4.78e-05,20.430391531
4.7046e-05,20.757388966
4.7688e-05,20.478160124
4.7477e-05,20.56938696
4.7028e-05,20.765333787
4.6227e-05,21.125141961
4.8226e-05,20.2497097
4.7698e-05,20.473866829
4.7084e-05,20.741077023
4.7679e-05,20.482240423
4.8388e-05,20.182123482
4.689e-05,20.826668799
4.795e-05,20.366266945
4.8179e-05,20.269674232
4.7815e-05,20.423768692
4.8188e-05,20.265678177
4.6763e-05,20.883453622
4.7437e-05,20.58629776
4.7995e-05,20.34717158
4.7388e-05,20.608018992
4.7173e-05,20.701725563
4.702e-05,20.769087622
4.6666e-05,20.926862457
4.9363e-05,19.783489491
4.6209e-05,21.133828192
4.7078e-05,20.743720461
4.6705e-05,20.909163901
4.7534e-05,20.544504986
4.6476e-05,21.012189087
5.1824e-05,18.844008992
4.6366e-05,21.061811868
4.7368e-05,20.616720325
4.561e-05,21.411383593
4.5781e-05,21.330941538
4.7909e-05,20.383483443
4.6818e-05,20.85869751
4.7908e-05,20.38412165
4.6243e-05,21.118061112
4.7333e-05,20.631747407
4.6747e-05,20.890377992
4.6589e-05,20.961224753
4.8131e-05,20.289888948
4.7991e-05,20.348867496
4.7015e-05,20.771075496
4.8075e-05,20.313523802
4.682e-05,20.85802924
4.6992e-05,20.781462802
4.7124e-05,20.723031544
4.6778e-05,20.876533841
4.6892e-05,20.825780517
4.6852e-05,20.843560574
4.6686e-05,20.917673392
5.494e-05,17.775072807
4.7304e-05,20.644614035
5.5329e-05,17.650102116
4.6971e-05,20.790753869
5.0867e-05,19.198161891
5.1137e-05,19.096984571
4.6985e-05,20.784337721
5.5487e-05,17.599843207
4.6844e-05,20.847120229
5.6113e-05,17.403653375
4.7962e-05,20.361171344
