0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
29.92,1.1,1.1,30.74,1.07,1.07
29.96,1.09,1.09,29.88,1.1,1.1
108.0,0.3,0.3,118.7,0.28,0.28
110.0,0.3,0.3,96.78,0.34,0.34
30.16,1.09,1.09,30.14,1.09,1.09
57.84,0.57,0.57,31.79,1.03,1.03
32.44,1.01,1.01,30.22,1.08,1.08
41.95,0.78,0.78,133.4,0.25,0.25
31.65,1.04,1.04,31.04,1.06,1.06
179.8,0.18,0.18,92.35,0.35,0.35
98.21,0.33,0.33,52.57,0.62,0.62
30.16,1.09,1.09,29.89,1.1,1.1
30.3,1.08,1.08,30.3,1.08,1.08
40.16,0.82,0.82,94.42,0.35,0.35
193.4,0.17,0.17,134.7,0.24,0.24
38.71,0.85,0.85,29.76,1.1,1.1
154.5,0.21,0.21,73.07,0.45,0.45
36.54,0.9,0.9,63.14,0.52,0.52
30.59,1.07,1.07,30.28,1.08,1.08
30.03,1.09,1.09,29.84,1.1,1.1
125.5,0.26,0.26,44.37,0.74,0.74
120.1,0.27,0.27,64.26,0.51,0.51
29.89,1.1,1.1,29.89,1.1,1.1
77.08,0.43,0.43,73.84,0.44,0.44
32.87,1.0,1.0,30.07,1.09,1.09
40.77,0.8,0.8,37.52,0.87,0.87
32.52,1.01,1.01,34.63,0.95,0.95
