0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
28.43,1.15,2.02,28.1,1.17,2.04
28.35,1.16,2.02,27.83,1.18,2.06
42.36,0.77,1.35,42.82,0.77,1.34
28.86,1.14,1.99,28.04,1.17,2.04
28.7,1.14,2.0,28.16,1.16,2.04
28.81,1.14,1.99,28.21,1.16,2.03
28.57,1.15,2.01,28.04,1.17,2.05
28.81,1.14,1.99,28.22,1.16,2.03
28.78,1.14,1.99,28.5,1.15,2.01
28.58,1.15,2.01,27.96,1.17,2.05
28.43,1.15,2.02,28.11,1.17,2.04
28.53,1.15,2.01,27.98,1.17,2.05
28.42,1.15,2.02,28.17,1.16,2.04
28.56,1.15,2.01,28.06,1.17,2.04
28.52,1.15,2.01,28.58,1.15,2.01
30.25,1.08,1.9,30.4,1.08,1.89
28.7,1.14,2.0,28.91,1.13,1.98
28.46,1.15,2.01,28.12,1.17,2.04
28.71,1.14,2.0,28.21,1.16,2.03
28.71,1.14,2.0,28.32,1.16,2.02
28.5,1.15,2.01,28.24,1.16,2.03
